state,level,office_or_chamber,party,official_url,press_listing_url,roster_url,detail_url_pattern,cms_family,requires_js,pagination,feed_rss,feed_wp_json,post_frequency_estimate,scraping_strategy,attribution_strategy,classification,confidence,weird_risks,_origin_file
MA,caucus,house_D_caucus,D,,https://malegislature.gov/PressRoom/House,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.7,[],caucus_sources.json
MA,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,[],caucus_sources.json
MA,caucus,senate_D_caucus,D,,https://malegislature.gov/PressRoom/Senate,,,proprietary,unknown,,,,unknown,,author_column,caucus_chamber_only,0.7,[],caucus_sources.json
MA,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.7,['Only 4 GOP senators; no caucus press site'],caucus_sources.json
MD,caucus,house_D_caucus,D,,https://www.mdhdcc.com/news,,,unknown,unknown,,,,unknown,,title_prefix,needs_profile,0.5,['wp-json 404'],caucus_sources.json
MD,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.5,['No MD House GOP caucus press domain found; only Facebook presence'],caucus_sources.json
MD,caucus,senate_D_caucus,D,,https://www.mdsenate.com/news,,,unknown,unknown,,,,unknown,,title_prefix,needs_profile,0.5,['wp-json 404'],caucus_sources.json
MD,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,['MD GOP small minority; no clear caucus press site'],caucus_sources.json
ME,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
ME,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
ME,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
ME,caucus,senate_R_caucus,R,,https://mesenategop.com/news/,,/{slug}/,wordpress,unknown,,https://mesenategop.com/feed/,,weekly,HTML scrape (wp-json 404),title_prefix,needs_profile,0.7,['wp-json 404'],caucus_sources.json
MI,caucus,senate_D_caucus,D,,https://senatedems.com/news/,,https://senatedems.com/blog/{year}/{month}/{slug}/ or /senator-{name}/press/{slug},wordpress,False,WP standard,https://senatedems.com/feed/,https://senatedems.com/wp-json/wp/v2/posts,daily,"wp-json (open, member subdomains under /senator/press/)",author_column,ready_first_wave,0.95,[],caucus_sources.json
MI,caucus,senate_R_caucus,R,,https://www.misenategop.com/press-releases/,,https://www.misenategop.com/{slug}/,wordpress,False,WP standard,https://www.misenategop.com/feed/,https://www.misenategop.com/wp-json/wp/v2/posts,daily,wp-json (open),title_prefix,ready_first_wave,0.95,[],caucus_sources.json
MN,caucus,house_D_caucus,D,,https://www.house.mn.gov/Caucus/Archive/NR?caucus=DFL,,/Caucus/View/DFL/{id},proprietary,False,numbered,,,daily,"chamber site, query-string party filter",title_prefix,caucus_chamber_only,0.85,[],caucus_sources.json
MN,caucus,house_R_caucus,R,,https://mnhouserepublicans.com/news/,,/{slug}/,wordpress,False,WP standard,https://mnhouserepublicans.com/feed/,https://mnhouserepublicans.com/wp-json/wp/v2/posts,daily,wp-json,title_prefix,ready_first_wave,0.95,[],caucus_sources.json
MN,caucus,senate_D_caucus,D,,https://senatedfl.mn/news/,,/{slug}/,wordpress,False,WP standard,https://senatedfl.mn/feed/,https://senatedfl.mn/wp-json/wp/v2/posts,daily,wp-json,author_column,ready_first_wave,0.95,[],caucus_sources.json
MN,caucus,senate_R_caucus,R,,https://www.mnsenaterepublicans.com/news/,,/{slug}/,wordpress,False,WP standard,,,weekly,HTML scrape; verify wp-json,title_prefix,needs_profile,0.6,['URL inferred from convention; verify'],caucus_sources.json
MO,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['TLS cert verification error on probe'],caucus_sources.json
MO,caucus,house_R_caucus,R,,https://house.mo.gov/MediaCenter.aspx,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.55,[],caucus_sources.json
MO,caucus,senate_D_caucus,D,,https://www.senate.mo.gov/,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
MO,caucus,senate_R_caucus,R,,https://www.senate.mo.gov/,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
MS,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.65,[],caucus_sources.json
MS,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
MS,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.65,[],caucus_sources.json
MS,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
MT,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
MT,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
MT,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
MT,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
NC,caucus,house_D_caucus,D,,,,,proprietary,unknown,,,,weekly,chamber site,author_column,caucus_chamber_only,0.5,['No NC House Dem caucus press site located'],caucus_sources.json
NC,caucus,house_R_caucus,R,,https://www.nchouserepublicans.com/news,,,unknown,unknown,,,,weekly,HTML scrape,title_prefix,needs_profile,0.55,['wp-json 404'],caucus_sources.json
NC,caucus,senate_D_caucus,D,,https://www.ncsenate.org/news/,,/{slug}/,wordpress,False,WP standard,https://www.ncsenate.org/feed/,,weekly,HTML scrape (wp-json 404),title_prefix,needs_profile,0.7,['wp-json 404'],caucus_sources.json
NC,caucus,senate_R_caucus,R,,https://ncstatesenate.com/news/,,/{slug}/,wordpress,False,WP standard,https://ncstatesenate.com/feed/,https://ncstatesenate.com/wp-json/wp/v2/posts,weekly,wp-json (open but returns empty array),title_prefix,needs_profile,0.55,['wp-json returns [] — posts may be in a custom post type or restricted'],caucus_sources.json
ND,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,[],caucus_sources.json
ND,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
ND,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,['Dem-NPL caucus has Facebook only'],caucus_sources.json
ND,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
NE,caucus,unicameral_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.95,['NE Legislature is officially nonpartisan unicameral — no party caucuses'],caucus_sources.json
NE,caucus,unicameral_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.95,['NE Legislature is officially nonpartisan'],caucus_sources.json
NH,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
NH,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.5,[],caucus_sources.json
NH,caucus,senate_D_caucus,D,,https://www.nhsenatedems.org/news,,,unknown,unknown,,,,unknown,,title_prefix,needs_profile,0.5,['wp-json 404 (likely Squarespace)'],caucus_sources.json
NH,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
NJ,caucus,house_D_caucus,D,,https://www.assemblydems.com/373/News,,/CivicAlerts.aspx?AID={id},civicplus,False,numbered,https://www.assemblydems.com/RSSFeed.aspx,,daily,CivicPlus scrape,title_prefix,ready_first_wave,0.9,[],caucus_sources.json
NJ,caucus,house_R_caucus,R,,https://www.njassemblygop.com/CivicAlerts.aspx,,/CivicAlerts.aspx?AID={id},civicplus,False,numbered,,,daily,CivicPlus scrape,title_prefix,ready_first_wave,0.85,[],caucus_sources.json
NJ,caucus,senate_D_caucus,D,,https://www.njsendems.org/220/News,,/CivicAlerts.aspx?AID={id},civicplus,False,numbered,https://www.njsendems.org/RSSFeed.aspx?ModID=63&CID=All-News,,daily,CivicPlus CivicAlerts scrape; RSS available,title_prefix,ready_first_wave,0.85,[],caucus_sources.json
NJ,caucus,senate_R_caucus,R,,https://www.senatenj.com/CivicAlerts.aspx,,/CivicAlerts.aspx?AID={id},civicplus,False,numbered,https://www.senatenj.com/RSSFeed.aspx,,daily,CivicPlus scrape,title_prefix,ready_first_wave,0.85,[],caucus_sources.json
NM,caucus,house_D_caucus,D,,https://www.nmhousedemocrats.com/latest-news,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.55,['wp-json 404'],caucus_sources.json
NM,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
NM,caucus,senate_D_caucus,D,,https://www.nmsenate.com/news,,/{slug}/,wordpress,unknown,,,https://www.nmsenate.com/wp-json/wp/v2/posts,weekly,wp-json,title_prefix,ready_first_wave,0.85,[],caucus_sources.json
NM,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['URL inferred'],caucus_sources.json
NV,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,none,,ambiguous,do_not_claim_member_coverage,0.6,['No standalone NV Assembly Dem caucus press domain found'],caucus_sources.json
NV,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,none,,ambiguous,do_not_claim_member_coverage,0.6,['No standalone NV Assembly GOP caucus press domain found'],caucus_sources.json
NV,caucus,senate_D_caucus,D,,https://www.nvsenatedems.com/news,,,unknown,unknown,,,,weekly,HTML scrape,title_prefix,needs_profile,0.5,['wp-json 404'],caucus_sources.json
NV,caucus,senate_R_caucus,R,,https://www.nvgopsenate.com/press-releases,,/{slug}/,wordpress,False,WP standard,https://www.nvgopsenate.com/feed/,https://www.nvgopsenate.com/wp-json/wp/v2/posts,rare,wp-json,title_prefix,ready_first_wave,0.85,['Posts cluster around session months; few in interim'],caucus_sources.json
NY,caucus,house_D_caucus,D,,https://nyassembly.gov/press/,,/press/{date}/{slug},proprietary,False,numbered,,,daily,"chamber site, party filter",author_column,caucus_chamber_only,0.7,[],caucus_sources.json
NY,caucus,house_R_caucus,R,,https://nyassemblyminority.com/,,,unknown,unknown,,,,unknown,needs verification,title_prefix,needs_profile,0.5,['URL inferred — verify'],caucus_sources.json
NY,caucus,senate_D_caucus,D,,https://www.nysenate.gov/newsroom,,/newsroom/press-releases/{slug},drupal,False,numbered,,,daily,chamber site (nysenate.gov) with party filter; per-senator news pages,author_column,caucus_chamber_only,0.85,[],caucus_sources.json
NY,caucus,senate_R_caucus,R,,https://www.nysenate.gov/newsroom,,/newsroom/press-releases/{slug},drupal,False,numbered,,,daily,chamber site with party filter,author_column,caucus_chamber_only,0.8,[],caucus_sources.json
OH,caucus,house_D_caucus,D,,https://www.ohiohouse.gov/news/democratic,,/news/{slug},proprietary,False,numbered,,,daily,HTML scrape on chamber site filtered by /news/democratic,author_column,caucus_chamber_only,0.85,[],caucus_sources.json
OH,caucus,house_R_caucus,R,,https://www.ohiohouse.gov/news/republican,,/news/{slug},proprietary,False,numbered,,,daily,HTML scrape on chamber site filtered by /news/republican,author_column,caucus_chamber_only,0.85,[],caucus_sources.json
OH,caucus,senate_D_caucus,D,,https://www.ohiosenatedemocrats.com/news,,/news/{slug},wordpress,False,WP standard,,https://www.ohiosenatedemocrats.com/wp-json/wp/v2/posts,weekly,wp-json,title_prefix,ready_first_wave,0.85,[],caucus_sources.json
OH,caucus,senate_R_caucus,R,,https://www.ohiosenategop.com/news,,/news/{slug},wordpress,False,WP standard,,https://www.ohiosenategop.com/wp-json/wp/v2/posts,rare,wp-json + chamber site (ohiosenate.gov) for member-level releases,single_chamber_source,caucus_chamber_only,0.7,"['GOP campaign committee site, posts dated 2018-2023; little recent caucus content']",caucus_sources.json
OK,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.5,[],caucus_sources.json
OK,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.5,[],caucus_sources.json
OK,caucus,senate_D_caucus,D,,https://www.oksenatedems.com/media,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.5,[],caucus_sources.json
OK,caucus,senate_R_caucus,R,,https://www.oksenate.gov/press-releases,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.7,[],caucus_sources.json
